project,true_star,true_watcher,true_committer,true_community,true_pdp
11749076,3,2,2,2,TRUE
1176593,37,38,2,2,TRUE
11800328,2,1,2,2,FALSE
118066,4,4,2,2,TRUE
11810527,1,1,1,1,FALSE
1181530,9,10,2,2,TRUE
1181924,4,1,2,2,TRUE
1182054,15,6,2,3,TRUE
118362,3,3,1,1,TRUE
1183922,6,3,2,2,TRUE
1185359,25,22,1,1,FALSE
1185500,2,1,1,1,TRUE
1185964,11,8,1,1,TRUE
118769,69,70,3,7,TRUE
1187870,5,2,1,1,TRUE
118807,1,1,1,1,TRUE
118808,3,3,2,2,FALSE
1188088,7,2,3,3,FALSE
1188978,1,0,1,1,TRUE
1190143,2,1,2,2,TRUE
1190484,4,1,1,1,TRUE
1191895,8,4,1,1,FALSE
11925,14,7,1,1,TRUE
1192897,8,1,2,2,TRUE
1194413,2,0,2,2,TRUE
1195436,25,10,11,11,TRUE
1195453,3,3,2,2,TRUE
1196523,3,0,2,2,TRUE
1196579,8,3,1,1,TRUE
1196940,11,3,1,1,FALSE
1197540,11,10,1,1,TRUE
1197577,29,24,3,3,TRUE
1198043,77,46,3,4,TRUE
119824,3,2,1,1,FALSE
119875,61,60,5,5,TRUE
1202057,11,5,1,1,TRUE
1202166,4,0,1,1,FALSE
120224,1,1,3,3,TRUE
1203115,3,0,1,1,TRUE
1203532,4,2,3,3,TRUE
12038,156,89,21,22,TRUE
1204476,4,1,2,2,TRUE
1206189,4,1,1,1,TRUE
1206318,6,4,2,3,TRUE
12070773,2,2,1,1,FALSE
121000,3,3,6,6,TRUE
1210488,3,1,2,2,TRUE
121088,2,2,2,2,TRUE
12113,6,6,8,9,TRUE
12115768,0,0,5,5,FALSE
121166,13,7,3,14,TRUE
1212149,2,0,1,1,TRUE
1214565,178,36,1,1,TRUE
1216706,34,33,1,4,TRUE
121841,3,6,1,1,FALSE
1219521,3,2,1,1,TRUE
122012,8,7,3,3,TRUE
12222717,7,8,14,14,TRUE
